1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,3,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1
1,0,0,0,0,0,0,1,0,0,1,0,1,0,16,0,0,1
1,0,0,0,0,1,2,1,0,0,1,0,1,7,1,0,0,1
1,0,0,4,0,0,0,1,0,0,1,0,1,0,1,0,0,1
1,1,1,1,5,1,1,1,0,0,1,1,1,0,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,5,1,1,0,0,1,1,1,1,1,5,1,1
1,11,0,0,1,0,0,1,0,0,1,0,9,1,0,0,10,1
1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1,0,0,0,1,0,8,1,0,0,5,0,9,1,0,0,10,1
1,1,6,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
